name,basekV,latitude,longitude
sourcebus,66.4,46.6965308,-119.0696656
hvmv115_hsb1,66.4,46.6960952,-119.0701878
hvmv115_hsb2,66.4,46.6956596,-119.07071
regxfmr_hvmv69sub1_lsb1,39.84,46.695224,-119.0712322
hvmv69sub1_lsb2,39.84,46.69478842,-119.0717544
hvmv69sub1_hsb,39.84,46.69391722,-119.0727987
hvmv11sub1_lsb,7.2,46.69304604,-119.0738431
hvmv_sub1_48332,7.2,46.69261044,-119.0743653
d5710794-3_int,7.2,46.69217484,-119.0748875
e192860,7.2,46.69173926,-119.0754097
hvmv69s1s2_1,39.84,46.69391722,-119.07071
hvmv69s1s2_2,39.84,46.6804138,-119.0691435
hvmv69s1s2_3,39.84,46.6717019,-119.0696656
hvmv69s1s2_4,39.84,46.66734596,-119.0811537
hvmv69s1s2_5,39.84,46.66734596,-119.1072628
hvmv69s1s2_6,39.84,46.65427812,-119.1333719
hvmv69s1s2_7,39.84,46.64338826,-119.1594811
hvmv69s1s2_8,39.84,46.63685434,-119.1751466
hvmv69s1s2_9,39.84,46.62901364,-119.190812
hvmv69s1s2_10,39.84,46.62073734,-119.2033444
hvmv69sub2_lnb,39.84,46.62073734,-119.2047543
hvmv69sub2_hsb,39.84,46.62160852,-119.2047543
hvmv11sub2_lsb,7.2,46.6233509,-119.2047543
m1047300,7.2,46.6247246,-119.2047392
hvmv69s2s3_1,39.84,46.62073734,-119.2059553
hvmv69s2s3_2,39.84,46.679107,-119.2401583
hvmv69sub3_hsb,39.84,46.6799782,-119.2404194
hvmv11sub3_lsb,7.2,46.68172058,-119.2409416
e203026,7.2,46.68271272,-119.2412838
m1209817,7.2,46.69164238,-119.0758362
l2801909,7.2,46.69128624,-119.0759062
m1209814,7.2,46.69030928,-119.0760983
m1209811,7.2,46.68880242,-119.0764049
m1209807,7.2,46.68707638,-119.0767661
m1209805,7.2,46.6870583,-119.0775224
l2823592,7.2,46.68625512,-119.0790532
l2823592_cap,7.2,46.68625,-119.079055
r20185,7.2,46.68625238,-119.0790649
d5513564-1_int,7.2,46.68585872,-119.079326
e192201,7.2,46.68576734,-119.0800287
m1209800,7.2,46.68533204,-119.0808273
m1209797,7.2,46.68476974,-119.0819293
m1209791,7.2,46.68432474,-119.0829379
m1209790,7.2,46.68393902,-119.0837637
m1209788,7.2,46.68360496,-119.0846939
m1209787,7.2,46.68298864,-119.0863755
l2823611,7.2,46.68227766,-119.088328
l3030204,7.2,46.6816312,-119.0895302
m1186072,7.2,46.68128498,-119.0900308
d6048634-1_int,7.2,46.68084938,-119.0908141
m1186067,7.2,46.68073852,-119.0910683
m3032980,7.2,46.68033208,-119.0917758
m3032977,7.2,46.68104588,-119.0960884
m1166366,7.2,46.68152696,-119.1013242
m1166368,7.2,46.68161568,-119.1020214
l2973833,7.2,46.68181916,-119.1038052
m1166373,7.2,46.68186144,-119.1045127
m1166374,7.2,46.68187098,-119.1046724
l2786266,7.2,46.68199478,-119.1058218
m1166375,7.2,46.68205734,-119.1064092
l2842383,7.2,46.68237166,-119.1080248
d6023352-1_int,7.2,46.68236962,-119.1084638
e184626,7.2,46.6823701,-119.1089321
m1166377,7.2,46.68236204,-119.1091086
m1166376,7.2,46.68233676,-119.1096861
l2842384,7.2,46.68233284,-119.1097759
m1149236,7.2,46.68226664,-119.1109343
m1149235,7.2,46.68224172,-119.1116456
d5563942-4_int,7.2,46.6822215,-119.1119625
q16483,7.2,46.6822,-119.1121
q16483_cap,7.2,46.6822,-119.1122
r42247,7.2,46.6822144,-119.1122683
m1149233,7.2,46.68218458,-119.1129483
l3048965,7.2,46.6820779,-119.114612
m1142843,7.2,46.6819893,-119.1154851
m1026329,7.2,46.6153648,-119.2182153
m1026328,7.2,46.61502638,-119.2186373
m1026330,7.2,46.6157226,-119.2177707
m1026331,7.2,46.6162805,-119.2170647
m1026333,7.2,46.61673378,-119.2164911
l2973162,7.2,46.61725362,-119.2158272
m1026341,7.2,46.6179223,-119.2149685
m1026347,7.2,46.61845116,-119.2143685
l3235275,7.2,46.61919974,-119.2132006
m1026354,7.2,46.61984188,-119.2122403
m1026356,7.2,46.6201627,-119.2116994
m1026357,7.2,46.62041678,-119.211294
l3122849,7.2,46.62116826,-119.2101758
l2691954,7.2,46.62170188,-119.209281
m1047292,7.2,46.62245572,-119.2080613
m1047293,7.2,46.62264224,-119.2077995
l2763153,7.2,46.623081,-119.2071597
l3139121,7.2,46.6236783,-119.2060926
m1047299,7.2,46.62408654,-119.2054971
l3027116,7.2,46.6254012,-119.203882
m1047303,7.2,46.62612896,-119.203005
l3254238,7.2,46.62712412,-119.2017922
l2673346,7.2,46.628414,-119.2002089
e182748,7.2,46.62905798,-119.1994313
d6049825-1_int,7.2,46.62907898,-119.1994019
m1047309,7.2,46.62910402,-119.1993757
n1137960,7.2,46.62934464,-119.1990556
m1047312,7.2,46.62948978,-119.1988625
l3216370,7.2,46.63046434,-119.1975889
m1047316,7.2,46.63061544,-119.1974141
l3235255,7.2,46.63112954,-119.1967897
l2897780,7.2,46.6315772,-119.1962708
m1047324,7.2,46.63249838,-119.1951319
m1047325,7.2,46.63259122,-119.1950207
q14412,7.2,46.63267262,-119.1948851
d5926308-3_int,7.2,46.63315178,-119.1944673
l2860491,7.2,46.63330654,-119.1942248
m1047339,7.2,46.6341519,-119.1932303
l2991922,7.2,46.63481618,-119.1922837
m1047345,7.2,46.63531398,-119.1915627
m1047346,7.2,46.63570258,-119.1909888
l3104134,7.2,46.63614532,-119.1903949
l2860490,7.2,46.63682132,-119.1896728
l3254218,7.2,46.6375779,-119.1888555
r18242,7.2,46.63797664,-119.18841689999999
m1069135,7.2,46.63872438,-119.1875949
m1069136,7.2,46.6395403,-119.186757
l3235256,7.2,46.63993208,-119.1863872
l3197630,7.2,46.6412267,-119.1850467
m1069154,7.2,46.64313652,-119.18304
m1069155,7.2,46.64421632,-119.1819034
m1069156,7.2,46.64552402,-119.1804516
l3048206,7.2,46.6461295,-119.1797264
l2766718,7.2,46.64703696,-119.1785906
l3010556,7.2,46.6480445,-119.1772301
m1069169,7.2,46.64871544,-119.1762644
e182724,7.2,46.64948422,-119.1749648
d6413567-3_int,7.2,46.64953014,-119.1748333
n1139541,7.2,46.649595,-119.1747455
m1069175,7.2,46.6499176,-119.1741067
m1069184,7.2,46.65041418,-119.1731885
m1069189,7.2,46.65061498,-119.1728172
l3195356,7.2,46.65115006,-119.1717579
m1089112,7.2,46.65149384,-119.1712257
m1089115,7.2,46.6521457,-119.1698667
m1089118,7.2,46.65308232,-119.1673346
m1089119,7.2,46.65352986,-119.1660942
m1089120,7.2,46.65367038,-119.165705
d5472350-1_int,7.2,46.65379896,-119.1653295
190-7361,7.2,46.65388888,-119.1650904
q14404,7.2,46.65410388,-119.1644418
regxfmr_190-7361,7.2,46.65406032,-119.1645463
d6138608-3_int,7.2,46.65427812,-119.1639196
l3029502,7.2,46.6543722,-119.1636594
m1089131,7.2,46.65492302,-119.1621574
l3104125,7.2,46.6551328,-119.1615523
l3160107,7.2,46.65601166,-119.1600349
m1089141,7.2,46.65692318,-119.1584879
m1089143,7.2,46.65808024,-119.156587
l3029498,7.2,46.65854132,-119.1551896
l2933164,7.2,46.65891824,-119.1541253
m1108286,7.2,46.65906104,-119.1527777
l2688692,7.2,46.65906792,-119.1526908
l2688693,7.2,46.6591211,-119.1520226
n1139547,7.2,46.65923644,-119.1505725
l2804249,7.2,46.65949472,-119.1494016
l3179678,7.2,46.66033894,-119.1476571
l2936279,7.2,46.66099242,-119.1461007
m1108295,7.2,46.66107304,-119.1446693
l3011298,7.2,46.66150698,-119.1433984
196-36167,7.2,46.66248036,-119.14263
m1108298,7.2,46.66294902,-119.14226
l2879773,7.2,46.66417718,-119.1416659
d6170302-1_int,7.2,46.66495018,-119.1414136
m1108311,7.2,46.66541248,-119.1413154
m1108315,7.2,46.66642506,-119.1410774
l2955081,7.2,46.66769888,-119.1405301
226-23751,7.2,46.66802514,-119.1399273
m1125902,7.2,46.66861532,-119.138837
e183493,7.2,46.66927454,-119.1375278
d5958866-1_int,7.2,46.66995952,-119.136505
l2861218,7.2,46.67041432,-119.1351648
l2917328,7.2,46.6708684,-119.1342011
m1125914,7.2,46.6711636,-119.1335746
m1125917,7.2,46.67181416,-119.1322256
m1125919,7.2,46.67209128,-119.1316263
l2992624,7.2,46.67247992,-119.1308861
l2730163,7.2,46.67312682,-119.129663
m1125934,7.2,46.67378164,-119.1289129
l3030199,7.2,46.67408098,-119.1285621
l2955074,7.2,46.67500784,-119.1275139
m1142818,7.2,46.67599334,-119.1264409
m1142819,7.2,46.67678852,-119.1255798
l2711226,7.2,46.67763042,-119.1246996
m1142821,7.2,46.67764802,-119.1246812
l2692655,7.2,46.67824474,-119.1241075
l2674047,7.2,46.67892828,-119.1234634
m1142828,7.2,46.67892854,-119.1234631
l3160865,7.2,46.68044628,-119.1221701
m1142832,7.2,46.6807069,-119.1210642
m1142839,7.2,46.68096224,-119.1198517
e193509,7.2,46.68118946,-119.1188178
d5799561-2_int,7.2,46.68128498,-119.1182286
l3081380,7.2,46.68147938,-119.1172784
d6138609-1_int,7.2,46.65231794,-119.1712302
l2691951,7.2,46.65242332,-119.1712348
n1139542,7.2,46.65275372,-119.1712343
p827523,7.2,46.65306158,-119.1712488
l2879076,7.2,46.653563,-119.1713209
m1089122,7.2,46.65390948,-119.1713227
m1089132,7.2,46.65499672,-119.1713283
l3029503,7.2,46.65559274,-119.1716997
m1069202,7.2,46.65641884,-119.1721301
l2879073,7.2,46.6579974,-119.1729997
m1069205,7.2,46.65881262,-119.1734384
m1069208,7.2,46.65928588,-119.1736931
m1069213,7.2,46.66055168,-119.1755755
m1069215,7.2,46.66124764,-119.1751466
m1069der480-1,0.28,46.66124764,-119.1741022
m1069-mt1,0.28,46.66124764,-119.1730578
m1069217,7.2,46.66139892,-119.1768812
l2841626,7.2,46.66143454,-119.1769363
l3235266,7.2,46.66217876,-119.1782677
l2801950,7.2,46.66298592,-119.179224
m1069224,7.2,46.66327218,-119.1796711
m1069230,7.2,46.66603918,-119.1803684
m1069300,7.2,46.66691036,-119.1803684
m1069310,7.2,46.66952392,-119.179324
m1069311,7.2,46.6713398,-119.1782192
l3159448,7.2,46.67137516,-119.1782233
n1138607,7.2,46.67229,-119.1783296
m4113347,7.2,46.6726203,-119.1783679
n1144668,7.2,46.67304148,-119.1784169
m1069350,7.2,46.67342198,-119.1784611
l3143999,7.2,46.673462,-119.1784769
n1138604,7.2,46.67449602,-119.1789819
