name,element,length_unit,z_matrix_real,z_matrix_imag,length,from_bus,to_bus,num_phases,phases,is_switch,is_open,base_kv_LL
hvmv115b1_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,hvmv115_hsb1,hvmv115_hsb2,3,"{'b', 'c', 'a'}",True,False,115.0
hvmv69s1b4_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,regxfmr_hvmv69sub1_lsb1,hvmv69sub1_lsb2,3,"{'b', 'c', 'a'}",True,False,69.0
hvmv69s1b1_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,hvmv69sub1_lsb2,hvmv69sub1_hsb,3,"{'b', 'c', 'a'}",True,False,69.0
hvmv_sub_connector,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.01, 0.0, 0.0], [0.0, 0.01, 0.0], [0.0, 0.0, 0.01]]",0.001,hvmv11sub1_lsb,hvmv_sub1_48332,3,"{'b', 'c', 'a'}",False,False,12.47
ln5710794-3,line,3,"[[0.2141620120958426, 0.055795673327478965, 0.057163579603184064], [0.055795673327478965, 0.21213109768802996, 0.056089218740818465], [0.057163579603184064, 0.056089218740818465, 0.2148008926065125]]","[[0.6349571372299505, 0.2748695351570142, 0.2465275827538739], [0.2748695351570142, 0.6523748665904011, 0.2909196961107396], [0.2465275827538739, 0.2909196961107396, 0.6295435753335943]]",0.019436038,hvmv_sub1_48332,d5710794-3_int,3,"{'b', 'c', 'a'}",False,False,12.47
hvmv69s1b2_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,d5710794-3_int,e192860,3,"{'b', 'c', 'a'}",True,False,12.47
hvmv69s1b3_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,hvmv69sub1_lsb2,hvmv69s1s2_1,3,"{'b', 'c', 'a'}",True,False,69.0
hvmv69s1s2-1,line,3,"[[0.26292972276849136, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.2740558010461755], [0.32199862853911054, 0.7343106370560755, 0.2978494133227139], [0.2740558010461755, 0.2978494133227139, 0.702036475272149]]",1.0,hvmv69s1s2_1,hvmv69s1s2_2,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s1s2-2,line,3,"[[0.26292972276849136, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.2740558010461755], [0.32199862853911054, 0.7343106370560756, 0.2978494133227139], [0.2740558010461755, 0.2978494133227139, 0.702036475272149]]",0.75,hvmv69s1s2_2,hvmv69s1s2_3,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s1s2-3,line,3,"[[0.26292972276849136, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.2740558010461755], [0.32199862853911054, 0.7343106370560756, 0.2978494133227139], [0.2740558010461755, 0.2978494133227139, 0.702036475272149]]",0.75,hvmv69s1s2_3,hvmv69s1s2_4,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s1s2-4,line,3,"[[0.26292972276849136, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.2740558010461755], [0.32199862853911054, 0.7343106370560755, 0.2978494133227139], [0.2740558010461755, 0.2978494133227139, 0.702036475272149]]",2.0,hvmv69s1s2_4,hvmv69s1s2_5,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s1s2-5,line,3,"[[0.26292972276849136, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.2740558010461755], [0.32199862853911054, 0.7343106370560755, 0.2978494133227139], [0.2740558010461755, 0.2978494133227139, 0.702036475272149]]",2.0,hvmv69s1s2_5,hvmv69s1s2_6,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s1s2-6,line,3,"[[0.26292972276849136, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.2740558010461755], [0.32199862853911054, 0.7343106370560755, 0.2978494133227139], [0.2740558010461755, 0.2978494133227139, 0.702036475272149]]",2.0,hvmv69s1s2_6,hvmv69s1s2_7,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s1s2-7,line,3,"[[0.26292972276849136, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.2740558010461755], [0.32199862853911054, 0.7343106370560755, 0.2978494133227139], [0.2740558010461755, 0.2978494133227139, 0.702036475272149]]",1.0,hvmv69s1s2_7,hvmv69s1s2_8,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s1s2-8,line,3,"[[0.26292972276849136, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.2740558010461755], [0.32199862853911054, 0.7343106370560755, 0.2978494133227139], [0.2740558010461755, 0.2978494133227139, 0.702036475272149]]",1.0,hvmv69s1s2_8,hvmv69s1s2_9,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s1s2-9,line,3,"[[0.26292972276849136, 0.09320795442624319, 0.09892383197611371], [0.09320795442624319, 0.26998022534271665, 0.10313503534427382], [0.09892383197611371, 0.10313503534427382, 0.2833581925644901]]","[[0.7519319350460741, 0.32199862853911054, 0.2740558010461755], [0.32199862853911054, 0.7343106370560755, 0.2978494133227139], [0.2740558010461755, 0.2978494133227139, 0.702036475272149]]",1.0,hvmv69s1s2_9,hvmv69s1s2_10,3,"{'b', 'c', 'a'}",False,False,69.0
hvmv69s1s2-10,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,hvmv69s1s2_10,hvmv69sub2_lnb,3,"{'b', 'c', 'a'}",True,False,69.0
hvmv69s2b1_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,hvmv69sub2_lnb,hvmv69sub2_hsb,3,"{'b', 'c', 'a'}",True,False,69.0
hvmv69s2b2_sw,line,0,"[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]","[[0.001, 0.0, 0.0], [0.0, 0.001, 0.0], [0.0, 0.0, 0.001]]",0.001,hvmv11sub2_lsb,m1047300,3,"{'b', 'c', 'a'}",True,False,12.47
