name,bus,P1,Q1,P2,Q2,P3,Q3
,sourcebus,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv115_hsb1,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv115_hsb2,0.0,0.0,0.0,0.0,0.0,0.0
,regxfmr_hvmv69sub1_lsb1,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub1_lsb2,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub1_hsb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv11sub1_lsb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv_sub1_48332,0.0,0.0,0.0,0.0,0.0,0.0
,d5710794-3_int,0.0,0.0,0.0,0.0,0.0,0.0
,e192860,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_1,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_2,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_3,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_4,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_5,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_6,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_7,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_8,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_9,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_10,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub2_lnb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub2_hsb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv11sub2_lsb,0.0,0.0,0.0,0.0,0.0,0.0
,m1047300,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s2s3_1,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s2s3_2,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub3_hsb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv11sub3_lsb,0.0,0.0,0.0,0.0,0.0,0.0
,e203026,0.0,0.0,0.0,0.0,0.0,0.0
,m1209817,0.0,0.0,0.0,0.0,0.0,0.0
,l2801909,0.0,0.0,0.0,0.0,4.07,1.02
,m1209814,0.0,0.0,0.0,0.0,0.0,0.0
,m1209811,0.0,0.0,0.0,0.0,0.0,0.0
,m1209807,0.0,0.0,0.0,0.0,0.0,0.0
,m1209805,0.0,0.0,0.0,0.0,0.0,0.0
223658a0b,l2823592,1.77,0.44,0.0,0.0,0.0,0.0
,l2823592_cap,0.0,0.0,0.0,0.0,0.0,0.0
,r20185,0.0,0.0,0.0,0.0,0.0,0.0
,d5513564-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,e192201,0.0,0.0,0.0,0.0,0.0,0.0
,m1209800,0.0,0.0,0.0,0.0,0.0,0.0
,m1209797,0.0,0.0,0.0,0.0,0.0,0.0
,m1209791,0.0,0.0,0.0,0.0,0.0,0.0
,m1209790,0.0,0.0,0.0,0.0,0.0,0.0
,m1209788,0.0,0.0,0.0,0.0,0.0,0.0
,m1209787,0.0,0.0,0.0,0.0,0.0,0.0
21386877a0b,l2823611,5.32,1.3299999999999998,0.0,0.0,0.0,0.0
,l3030204,8.87,2.23,0.0,0.0,0.0,0.0
,m1186072,0.0,0.0,0.0,0.0,0.0,0.0
,d6048634-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,m1186067,0.0,0.0,0.0,0.0,0.0,0.0
,m3032980,0.0,0.0,0.0,0.0,0.0,0.0
,m3032977,0.0,0.0,0.0,0.0,0.0,0.0
,m1166366,0.0,0.0,0.0,0.0,0.0,0.0
,m1166368,0.0,0.0,0.0,0.0,0.0,0.0
,l2973833,0.0,0.0,5.84,1.47,0.0,0.0
,m1166373,0.0,0.0,0.0,0.0,0.0,0.0
,m1166374,0.0,0.0,0.0,0.0,0.0,0.0
,l2786266,5.32,1.3299999999999998,0.0,0.0,0.0,0.0
,m1166375,0.0,0.0,0.0,0.0,0.0,0.0
260634a0b,l2842383,5.319999999999999,1.34,0.0,0.0,0.0,0.0
,d6023352-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,e184626,0.0,0.0,0.0,0.0,0.0,0.0
,m1166377,0.0,0.0,0.0,0.0,0.0,0.0
,m1166376,0.0,0.0,0.0,0.0,0.0,0.0
,l2842384,0.0,0.0,0.0,0.0,4.07,1.02
,m1149236,0.0,0.0,0.0,0.0,0.0,0.0
,m1149235,0.0,0.0,0.0,0.0,0.0,0.0
,d5563942-4_int,0.0,0.0,0.0,0.0,0.0,0.0
,q16483,0.0,0.0,0.0,0.0,0.0,0.0
,q16483_cap,0.0,0.0,0.0,0.0,0.0,0.0
,r42247,0.0,0.0,0.0,0.0,0.0,0.0
,m1149233,0.0,0.0,0.0,0.0,0.0,0.0
,l3048965,0.0,0.0,14.59,3.66,0.0,0.0
,m1142843,0.0,0.0,0.0,0.0,0.0,0.0
,m1026329,0.0,0.0,0.0,0.0,0.0,0.0
,m1026328,0.0,0.0,0.0,0.0,0.0,0.0
,m1026330,0.0,0.0,0.0,0.0,0.0,0.0
,m1026331,0.0,0.0,0.0,0.0,0.0,0.0
