,name,basekV,latitude,longitude
0,sourcebus,66.4,46.6965308,-119.0696656
1,hvmv115_hsb1,66.4,46.6960952,-119.0701878
2,hvmv115_hsb2,66.4,46.6956596,-119.07071
3,regxfmr_hvmv69sub1_lsb1,39.84,46.695224,-119.0712322
4,hvmv69sub1_lsb2,39.84,46.69478842,-119.0717544
5,hvmv69sub1_hsb,39.84,46.69391722,-119.0727987
6,hvmv11sub1_lsb,7.2,46.69304604,-119.0738431
7,hvmv_sub1_48332,7.2,46.69261044,-119.0743653
8,d5710794-3_int,7.2,46.69217484,-119.0748875
9,e192860,7.2,46.69173926,-119.0754097
10,hvmv69s1s2_1,39.84,46.69391722,-119.07071
11,hvmv69s1s2_2,39.84,46.6804138,-119.0691435
12,hvmv69s1s2_3,39.84,46.6717019,-119.0696656
13,hvmv69s1s2_4,39.84,46.66734596,-119.0811537
14,hvmv69s1s2_5,39.84,46.66734596,-119.1072628
15,hvmv69s1s2_6,39.84,46.65427812,-119.1333719
16,hvmv69s1s2_7,39.84,46.64338826,-119.1594811
17,hvmv69s1s2_8,39.84,46.63685434,-119.1751466
18,hvmv69s1s2_9,39.84,46.62901364,-119.190812
19,hvmv69s1s2_10,39.84,46.62073734,-119.2033444
20,hvmv69sub2_lnb,39.84,46.62073734,-119.2047543
21,hvmv69sub2_hsb,39.84,46.62160852,-119.2047543
22,hvmv11sub2_lsb,7.2,46.6233509,-119.2047543
23,m1047300,7.2,46.6247246,-119.2047392
24,hvmv69s2s3_1,39.84,46.62073734,-119.2059553
25,hvmv69s2s3_2,39.84,46.679107,-119.2401583
26,hvmv69sub3_hsb,39.84,46.6799782,-119.2404194
27,hvmv11sub3_lsb,7.2,46.68172058,-119.2409416
28,e203026,7.2,46.68271272,-119.2412838
29,m1209817,7.2,46.69164238,-119.0758362
30,l2801909,7.2,46.69128624,-119.0759062
31,m1209814,7.2,46.69030928,-119.0760983
32,m1209811,7.2,46.68880242,-119.0764049
33,m1209807,7.2,46.68707638,-119.0767661
34,m1209805,7.2,46.6870583,-119.0775224
35,l2823592,7.2,46.68625512,-119.0790532
36,l2823592_cap,7.2,46.68625,-119.079055
37,r20185,7.2,46.68625238,-119.0790649
38,d5513564-1_int,7.2,46.68585872,-119.079326
39,e192201,7.2,46.68576734,-119.0800287
40,m1209800,7.2,46.68533204,-119.0808273
41,m1209797,7.2,46.68476974,-119.0819293
42,m1209791,7.2,46.68432474,-119.0829379
43,m1209790,7.2,46.68393902,-119.0837637
44,m1209788,7.2,46.68360496,-119.0846939
45,m1209787,7.2,46.68298864,-119.0863755
46,l2823611,7.2,46.68227766,-119.088328
47,l3030204,7.2,46.6816312,-119.0895302
48,m1186072,7.2,46.68128498,-119.0900308
49,d6048634-1_int,7.2,46.68084938,-119.0908141
50,m1186067,7.2,46.68073852,-119.0910683
51,m3032980,7.2,46.68033208,-119.0917758
52,m3032977,7.2,46.68104588,-119.0960884
53,m1166366,7.2,46.68152696,-119.1013242
54,m1166368,7.2,46.68161568,-119.1020214
55,l2973833,7.2,46.68181916,-119.1038052
56,m1166373,7.2,46.68186144,-119.1045127
57,m1166374,7.2,46.68187098,-119.1046724
58,l2786266,7.2,46.68199478,-119.1058218
59,m1166375,7.2,46.68205734,-119.1064092
60,l2842383,7.2,46.68237166,-119.1080248
61,d6023352-1_int,7.2,46.68236962,-119.1084638
62,e184626,7.2,46.6823701,-119.1089321
63,m1166377,7.2,46.68236204,-119.1091086
64,m1166376,7.2,46.68233676,-119.1096861
