,name,bus,P1,Q1,P2,Q2,P3,Q3
0,,sourcebus,0.0,0.0,0.0,0.0,0.0,0.0
1,,hvmv115_hsb1,0.0,0.0,0.0,0.0,0.0,0.0
2,,hvmv115_hsb2,0.0,0.0,0.0,0.0,0.0,0.0
3,,regxfmr_hvmv69sub1_lsb1,0.0,0.0,0.0,0.0,0.0,0.0
4,,hvmv69sub1_lsb2,0.0,0.0,0.0,0.0,0.0,0.0
5,,hvmv69sub1_hsb,0.0,0.0,0.0,0.0,0.0,0.0
6,,hvmv11sub1_lsb,0.0,0.0,0.0,0.0,0.0,0.0
7,,hvmv_sub1_48332,0.0,0.0,0.0,0.0,0.0,0.0
8,,d5710794-3_int,0.0,0.0,0.0,0.0,0.0,0.0
9,,e192860,0.0,0.0,0.0,0.0,0.0,0.0
10,,hvmv69s1s2_1,0.0,0.0,0.0,0.0,0.0,0.0
11,,hvmv69s1s2_2,0.0,0.0,0.0,0.0,0.0,0.0
12,,hvmv69s1s2_3,0.0,0.0,0.0,0.0,0.0,0.0
13,,hvmv69s1s2_4,0.0,0.0,0.0,0.0,0.0,0.0
14,,hvmv69s1s2_5,0.0,0.0,0.0,0.0,0.0,0.0
15,,hvmv69s1s2_6,0.0,0.0,0.0,0.0,0.0,0.0
16,,hvmv69s1s2_7,0.0,0.0,0.0,0.0,0.0,0.0
17,,hvmv69s1s2_8,0.0,0.0,0.0,0.0,0.0,0.0
18,,hvmv69s1s2_9,0.0,0.0,0.0,0.0,0.0,0.0
19,,hvmv69s1s2_10,0.0,0.0,0.0,0.0,0.0,0.0
20,,hvmv69sub2_lnb,0.0,0.0,0.0,0.0,0.0,0.0
21,,hvmv69sub2_hsb,0.0,0.0,0.0,0.0,0.0,0.0
22,,hvmv11sub2_lsb,0.0,0.0,0.0,0.0,0.0,0.0
23,,m1047300,0.0,0.0,0.0,0.0,0.0,0.0
24,,hvmv69s2s3_1,0.0,0.0,0.0,0.0,0.0,0.0
25,,hvmv69s2s3_2,0.0,0.0,0.0,0.0,0.0,0.0
26,,hvmv69sub3_hsb,0.0,0.0,0.0,0.0,0.0,0.0
27,,hvmv11sub3_lsb,0.0,0.0,0.0,0.0,0.0,0.0
28,,e203026,0.0,0.0,0.0,0.0,0.0,0.0
29,,m1209817,0.0,0.0,0.0,0.0,0.0,0.0
30,226195333c0b,l2801909,0.0,0.0,0.0,0.0,4.07,1.02
31,,m1209814,0.0,0.0,0.0,0.0,0.0,0.0
32,,m1209811,0.0,0.0,0.0,0.0,0.0,0.0
33,,m1209807,0.0,0.0,0.0,0.0,0.0,0.0
34,,m1209805,0.0,0.0,0.0,0.0,0.0,0.0
35,223658a0b,l2823592,1.77,0.44,0.0,0.0,0.0,0.0
36,,l2823592_cap,0.0,0.0,0.0,0.0,0.0,0.0
37,,r20185,0.0,0.0,0.0,0.0,0.0,0.0
38,,d5513564-1_int,0.0,0.0,0.0,0.0,0.0,0.0
39,,e192201,0.0,0.0,0.0,0.0,0.0,0.0
40,,m1209800,0.0,0.0,0.0,0.0,0.0,0.0
41,,m1209797,0.0,0.0,0.0,0.0,0.0,0.0
42,,m1209791,0.0,0.0,0.0,0.0,0.0,0.0
43,,m1209790,0.0,0.0,0.0,0.0,0.0,0.0
44,,m1209788,0.0,0.0,0.0,0.0,0.0,0.0
45,,m1209787,0.0,0.0,0.0,0.0,0.0,0.0
46,21386877a0b,l2823611,5.32,1.3299999999999998,0.0,0.0,0.0,0.0
47,20107636a0b,l3030204,8.87,2.23,0.0,0.0,0.0,0.0
48,,m1186072,0.0,0.0,0.0,0.0,0.0,0.0
49,,d6048634-1_int,0.0,0.0,0.0,0.0,0.0,0.0
50,,m1186067,0.0,0.0,0.0,0.0,0.0,0.0
51,,m3032980,0.0,0.0,0.0,0.0,0.0,0.0
52,,m3032977,0.0,0.0,0.0,0.0,0.0,0.0
53,,m1166366,0.0,0.0,0.0,0.0,0.0,0.0
54,,m1166368,0.0,0.0,0.0,0.0,0.0,0.0
55,260630b0b,l2973833,0.0,0.0,5.84,1.47,0.0,0.0
56,,m1166373,0.0,0.0,0.0,0.0,0.0,0.0
57,,m1166374,0.0,0.0,0.0,0.0,0.0,0.0
58,260631a0b,l2786266,5.32,1.3299999999999998,0.0,0.0,0.0,0.0
59,,m1166375,0.0,0.0,0.0,0.0,0.0,0.0
60,260634a0b,l2842383,5.319999999999999,1.34,0.0,0.0,0.0,0.0
61,,d6023352-1_int,0.0,0.0,0.0,0.0,0.0,0.0
62,,e184626,0.0,0.0,0.0,0.0,0.0,0.0
63,,m1166377,0.0,0.0,0.0,0.0,0.0,0.0
64,,m1166376,0.0,0.0,0.0,0.0,0.0,0.0
65,260637c0b,l2842384,0.0,0.0,0.0,0.0,4.07,1.02
66,,m1149236,0.0,0.0,0.0,0.0,0.0,0.0
67,,m1149235,0.0,0.0,0.0,0.0,0.0,0.0
68,,d5563942-4_int,0.0,0.0,0.0,0.0,0.0,0.0
69,,q16483,0.0,0.0,0.0,0.0,0.0,0.0
70,,q16483_cap,0.0,0.0,0.0,0.0,0.0,0.0
71,,r42247,0.0,0.0,0.0,0.0,0.0,0.0
72,,m1149233,0.0,0.0,0.0,0.0,0.0,0.0
73,260641b0b,l3048965,0.0,0.0,14.59,3.66,0.0,0.0
74,,m1142843,0.0,0.0,0.0,0.0,0.0,0.0
75,,m1026329,0.0,0.0,0.0,0.0,0.0,0.0
76,,m1026328,0.0,0.0,0.0,0.0,0.0,0.0
77,,m1026330,0.0,0.0,0.0,0.0,0.0,0.0
78,,m1026331,0.0,0.0,0.0,0.0,0.0,0.0
79,,m1026333,0.0,0.0,0.0,0.0,0.0,0.0
80,302375b0b,l2973162,0.0,0.0,5.84,1.46,0.0,0.0
