,name,element,length_unit,z_matrix,length,from_bus,to_bus,num_phases,is_switch,is_open
0,hvmv115b1_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,hvmv115_hsb1,hvmv115_hsb2,3,True,False
1,hvmv69s1b4_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,regxfmr_hvmv69sub1_lsb1,hvmv69sub1_lsb2,3,True,False
2,hvmv69s1b1_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,hvmv69sub1_lsb2,hvmv69sub1_hsb,3,True,False
3,hvmv_sub_connector,line,0,"[[0.001+0.01j 0.   +0.j   0.   +0.j  ]
 [0.   +0.j   0.001+0.01j 0.   +0.j  ]
 [0.   +0.j   0.   +0.j   0.001+0.01j]]",0.001,hvmv11sub1_lsb,hvmv_sub1_48332,3,False,False
4,ln5710794-3,line,3,"[[0.21416201+0.63495714j 0.05579567+0.27486954j 0.05716358+0.24652758j]
 [0.05579567+0.27486954j 0.2121311 +0.65237487j 0.05608922+0.2909197j ]
 [0.05716358+0.24652758j 0.05608922+0.2909197j  0.21480089+0.62954358j]]",0.019436038,hvmv_sub1_48332,d5710794-3_int,3,False,False
5,hvmv69s1b2_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,d5710794-3_int,e192860,3,True,False
6,hvmv69s1b3_sw,line,0,"[[0.001+0.001j 0.   +0.j    0.   +0.j   ]
 [0.   +0.j    0.001+0.001j 0.   +0.j   ]
 [0.   +0.j    0.   +0.j    0.001+0.001j]]",0.001,hvmv69sub1_lsb2,hvmv69s1s2_1,3,True,False
7,hvmv69s1s2-1,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",1.0,hvmv69s1s2_1,hvmv69s1s2_2,3,False,False
8,hvmv69s1s2-2,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",0.75,hvmv69s1s2_2,hvmv69s1s2_3,3,False,False
9,hvmv69s1s2-3,line,3,"[[0.26292972+0.75193194j 0.09320795+0.32199863j 0.09892383+0.2740558j ]
 [0.09320795+0.32199863j 0.26998023+0.73431064j 0.10313504+0.29784941j]
 [0.09892383+0.2740558j  0.10313504+0.29784941j 0.28335819+0.70203648j]]",0.75,hvmv69s1s2_3,hvmv69s1s2_4,3,False,False
