name,bus,P1,Q1,P2,Q2,P3,Q3
,150,0.0,0.0,0.0,0.0,0.0,0.0
,150r,0.0,0.0,0.0,0.0,0.0,0.0
,149,0.0,0.0,0.0,0.0,0.0,0.0
s1a,1,40.0,20.0,0.0,0.0,0.0,0.0
s2b,2,0.0,0.0,20.0,10.0,0.0,0.0
,3,0.0,0.0,0.0,0.0,0.0,0.0
s7a,7,20.0,10.0,0.0,0.0,0.0,0.0
s4c,4,0.0,0.0,0.0,0.0,40.0,20.0
s5c,5,0.0,0.0,0.0,0.0,20.52,10.26
s6c,6,0.0,0.0,0.0,0.0,42.06,21.03
,8,0.0,0.0,0.0,0.0,0.0,0.0
s12b,12,0.0,0.0,20.0,10.0,0.0,0.0
s9a,9,40.0,20.0,0.0,0.0,0.0,0.0
,13,0.0,0.0,0.0,0.0,0.0,0.0
,9r,0.0,0.0,0.0,0.0,0.0,0.0
,14,0.0,0.0,0.0,0.0,0.0,0.0
s34c,34,0.0,0.0,0.0,0.0,41.04,20.52
,18,0.0,0.0,0.0,0.0,0.0,0.0
s11a,11,40.49,20.25,0.0,0.0,0.0,0.0
s10a,10,20.13,10.06,0.0,0.0,0.0,0.0
,15,0.0,0.0,0.0,0.0,0.0,0.0
s16c,16,0.0,0.0,0.0,0.0,40.0,20.0
s17c,17,0.0,0.0,0.0,0.0,20.0,10.0
s19a,19,40.0,20.0,0.0,0.0,0.0,0.0
,21,0.0,0.0,0.0,0.0,0.0,0.0
s20a,20,39.63,19.82,0.0,0.0,0.0,0.0
s22b,22,0.0,0.0,42.02,21.01,0.0,0.0
,23,0.0,0.0,0.0,0.0,0.0,0.0
s24c,24,0.0,0.0,0.0,0.0,40.0,20.0
,25,0.0,0.0,0.0,0.0,0.0,0.0
,25r,0.0,0.0,0.0,0.0,0.0,0.0
,26,0.0,0.0,0.0,0.0,0.0,0.0
s28a,28,39.64,19.82,0.0,0.0,0.0,0.0
,27,0.0,0.0,0.0,0.0,0.0,0.0
s31c,31,0.0,0.0,0.0,0.0,20.0,10.0
s33a,33,40.07,20.04,0.0,0.0,0.0,0.0
s29a,29,39.26,19.63,0.0,0.0,0.0,0.0
s30c,30,0.0,0.0,0.0,0.0,40.0,20.0
,250,0.0,0.0,0.0,0.0,0.0,0.0
s32c,32,0.0,0.0,0.0,0.0,20.0,10.0
s35a,35,25.45,-2.02,14.55,22.02,0.0,0.0
,36,0.0,0.0,0.0,0.0,0.0,0.0
,40,0.0,0.0,0.0,0.0,0.0,0.0
s37a,37,39.07,19.54,0.0,0.0,0.0,0.0
s38b,38,0.0,0.0,20.45,10.23,0.0,0.0
s39b,39,0.0,0.0,20.0,10.0,0.0,0.0
